bin,code,name,cards_mln
860033,00937,Ipotekabank,5.49
986001,00937,Ipotekabank,5.49
860003,00440,UzSQB,1.034
986002,00440,UzSQB,1.034
860004,01140,Agrobank,6.62
986003,01140,Agrobank,6.62
860013,00398,Asakabank,1.29
986004,00398,Asakabank,1.29
860009,01037,Biznesni rivojlantirish banki,1.034
986006,01037,Biznesni rivojlantirish banki,1.034
860006,01125,Xalq Banki,11.38
986008,01125,Xalq Banki,11.38
860055,01095,Asia Alliance Bank,1.034
986009,01095,Asia Alliance Bank,1.034
860049,01158,Kapitalbank,1.034
986010,01158,Kapitalbank,1.034
860002,00450,NBU,4.27
986012,00450,NBU,4.27
860005,00433,Mikrokreditbank,1.034
986013,00433,Mikrokreditbank,1.034
860008,00439,Garantbank,1.034
986014,00439,Garantbank,1.034
860011,00446,Turonbank,0.546
986015,00446,Turonbank,0.546
860012,00083,Hamkorbank,4.32
986016,00083,Hamkorbank,4.32
860014,00444,Ipak Yuli Bank,1.034
986017,00444,Ipak Yuli Bank,1.034
860030,00490,Trastbank,1.034
986018,00490,Trastbank,1.034
860031,00401,Aloqabank,1.034
986019,00401,Aloqabank,1.034
860034,00842,KDB Bank Uzbekistan,1.034
986020,00842,KDB Bank Uzbekistan,1.034
860048,00973,Universalbank,1.034
986023,00973,Universalbank,1.034
860050,00980,Octobank,1.64
986024,00980,Octobank,1.64
860051,00981,Davrbank,1.23
986025,00981,Davrbank,1.23
860053,01041,Infinbank,1.034
986026,01041,Infinbank,1.034
860057,01071,Orient Finans Bank,1.034
986027,01071,Orient Finans Bank,1.034
860020,00395,Ziraatbank,1.034
986029,00395,Ziraatbank,1.034
860043,00950,Saderat Bank,1.034
986030,00950,Saderat Bank,1.034
860059,01150,AVO Bank,0.282
986031,01150,AVO Bank,0.282
860058,01142,Madad Invest Bank,0.0136
986032,01142,Madad Invest Bank,0.0136
860060,01172,Poytaxtbank,1.034
986033,01172,Poytaxtbank,1.034
860061,01176,Tenge Bank,0.136
986034,01176,Tenge Bank,0.136
860062,01180,TBC Bank,2.95
986035,01180,TBC Bank,2.95
986036,01190,UzumBank,6.35
986037,01199,Smart Bank,0.2875
986038,01198,Hayot Bank,1.034
986039,01196,Apex Bank,0.0328
860063,01183,Anorbank,4.55
986060,01183,Anorbank,4.55
